Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.61567,,,,,,,,,,37.45584,,,,,,,,,,41,,43,,,
Afghanistan,AFG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,149.4478923002,152.1524593622,129.1985722682,134.0767803779,162.3432035637,173.6529320867,184.3619222893,209.7038867938,232.5438337736,259.9079656757,249.1088485146,239.4107890597,,,,,,,,,,,,,,,,,,,,106.7141967606,169.5851878808,181.7123013976,202.9228778235,234.0897487864,253.8079709296,344.5391664364,345.1472193065,415.2890643364,510.4559590143,559.3099277734,623.2368043247,597.9346257673,,
Afghanistan,AFG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,145.321,145.321,145.321,145.321,145.321,145.321,145.321,145.321,145.321,145.321,145.321,145.321,145.321,146.215,147.109,148.003,148.897,149.791,150.8782,151.9654,153.0526,154.1398,155.227,156.3758,157.5246,158.6734,159.8222,160.971,161.56,162.149,162.738,163.327,163.916,164.1812,164.4464,164.7116,164.9768,165.242,161.4432,157.6444,153.8456,150.0468,146.248,140.4764,134.7048,128.9332,123.1616,117.39,111.4708,105.5516,99.6324,93.7132,87.794,82.2638,76.7336,
Afghanistan,AFG,Agricultural land (sq. km),AG.LND.AGRI.K2,,377000,377600,378100,378730,378750,379130,379790,379800,379960,380060,380360,380460,380480,380480,380480,380480,380500,380500,380490,380490,380530,380540,380540,380540,380540,380540,380450,380400,380400,380400,380300,380300,379340,378130,377530,377520,377900,378670,377530,377530,377530,377530,379100,379110,379100,379100,379100,379100,379100,379100,379100,379100,379100,,
Afghanistan,AFG,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,47000,,,,55000,58000,45000,45000,45000,45000,383000,429000,429000,400000,400000,400000,,120000,130000,27000,27000,51000,51000,94000,255745,306800,340350,338150,330650,,
Afghanistan,AFG,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,,,327,,,,,327,,,,,327,,,,,327,,,,,327,,,,,327,,,,,327,,,,,327,,,,,327,,,,,327,,,,,327,,327,
Afghanistan,AFG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,53.73,53.726,53.715,53.696,53.667,53.623,53.562,53.48,53.378,53.257,53.118,52.964,52.8,52.632,52.463,52.298,52.141,51.994,51.855,51.725,51.602,51.482,51.362,51.24,51.117,50.991,50.865,50.741,50.626,50.527,50.467,50.472,50.546,50.675,50.833,50.978,51.063,51.039,50.869,50.528,49.999,49.281,48.405,47.403,46.291,45.078,43.763,42.361,40.899,39.414,37.952,36.556,35.254,34.065,,
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.046067875,0.0536149426,0.073781338,0.0742513682,0.0863165425,0.1014986073,0.1076739699,0.1237823814,0.1155473835,0.0868628168,0.1503585483,0.1661148458,0.1308201421,0.1363399535,0.1557251225,0.1690270822,0.1548950263,0.1831183076,0.1633469709,0.1686734879,0.1332302709,0.152639744,0.1658791217,0.205462699,0.2376429485,0.3017341992,0.2747296976,0.275560305,0.2520791563,0.2391312082,0.2218267638,0.1949712316,0.1037757455,0.0927611026,0.0831835378,0.0756464651,0.0685918498,0.0618143487,0.0570508679,0.0437225883,0.03964437,0.0314347558,0.0416412114,0.0461076124,0.0407273663,0.05485483,0.065815968,0.0881410539,0.158961558,0.2490735296,0.3029363884,0.4252621049,,,,
Afghanistan,AFG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,33.39,32.773,32.168,31.572,30.984,30.402,29.826,29.257,28.696,28.144,27.602,27.074,26.56,26.06,25.569,25.089,24.617,24.148,23.677,23.196,22.693,22.155,21.58,20.967,20.32,19.647,18.956,18.264,17.584,16.931,16.315,15.746,15.223,14.744,14.308,13.913,13.556,13.227,12.916,12.613,12.307,11.988,11.653,11.301,10.933,10.55,10.158,9.767,9.386,9.023,8.684,8.375,8.095,7.845,,
